-1785317.6012201186	  inf
-1352599.1840884658	2.42376e-01
-1348606.0203117542	2.95222e-03
-1348825.4834486968	-1.62733e-04
-1347915.5160191006	6.74637e-04
-1349698.3889024809	-1.32269e-03
-1350315.4819052897	-4.57208e-04
-1351066.5355809052	-5.56206e-04
-1351171.7621120282	-7.78840e-05
-1351304.0514111132	-9.79071e-05
-1350836.8240649735	3.45760e-04
-1350168.4634275441	4.94775e-04
-1349516.1409334948	4.83142e-04
-1348694.3781519604	6.08931e-04
-1347785.3320671525	6.74019e-04
-1346582.3260764428	8.92580e-04
-1345364.2183138886	9.04592e-04
-1343942.0352159587	1.05710e-03
-1342485.2490261851	1.08397e-03
-1341054.6876610899	1.06561e-03
-1339597.5050144088	1.08659e-03
-1338043.8438829540	1.15980e-03
-1336457.4178677718	1.18563e-03
-1335002.5227462326	1.08862e-03
-1333645.4463632570	1.01653e-03
-1332290.4150512461	1.01604e-03
-1330945.0125480534	1.00984e-03
-1329665.2394393338	9.61552e-04
-1328447.3122730781	9.15965e-04
-1327328.3771118899	8.42288e-04
-1326309.0206714696	7.67976e-04
-1325178.0376718296	8.52730e-04
-1324064.5944653479	8.40222e-04
-1323124.0593037640	7.10339e-04
-1322288.0819503106	6.31821e-04
-1321523.4766109476	5.78244e-04
-1320809.5283704344	5.40246e-04
-1320168.7340387045	4.85153e-04
-1319601.9558620958	4.29323e-04
-1319152.3330262676	3.40726e-04
-1318736.6008893829	3.15151e-04
-1318357.6775259494	2.87338e-04
-1318005.6425173150	2.67025e-04
-1317665.2287309330	2.58279e-04
-1317402.0752191250	1.99712e-04
-1317157.5004710404	1.85649e-04
-1316903.0050090493	1.93216e-04
-1316638.1729219239	2.01102e-04
-1316468.2968612476	1.29023e-04
-1316271.8181938420	1.49247e-04
-1316115.6773592909	1.18624e-04
-1315975.9756754865	1.06147e-04
-1315842.3042213079	1.01576e-04
-1315722.7064861860	9.08906e-05
